id,outbreak_number,start_weekday,who_region,country,location,start_date,end_date,total_suspected_cases,total_confirmed_cases,total_deaths,duration,right_censored,EpiPeriod,temporal_scale,spatial_scale,location_period_id,threshold.per.week,population,run_country,duplicated_at_same_spatial_scale,manually_selected,duplicated_at_different_spatial_scale,time_to_peak (weeks)
afr::ago::cabinda_1,1,Sunday,AFR,AGO,afr::ago::cabinda,2017-04-16,2017-06-03,61,,,49,yes,complete,weekly,admin1,15295,0,975402.6,AGO,|afr::ago::cabinda|afr::ago::cabinda,yes,,5
afr::gin::boke::boke_1,1,Sunday,AFR,GIN,afr::gin::boke::boke,2012-07-29,2012-10-13,174,,,77,no,complete,weekly,admin2,92,0,426532.9,GIN,|afr::gin::boke::boke|afr::gin::boke::boke,yes,,6
afr::gin::conakry::conakry_1,1,Sunday,AFR,GIN,afr::gin::conakry::conakry,2012-07-08,2012-10-20,4497,,,105,no,complete,weekly,admin2,5965,0,1570272.9,GIN,|afr::gin::conakry::conakry|afr::gin::conakry::conakry,yes,,7
afr::gin::kindia::coyah_1,1,Sunday,AFR,GIN,afr::gin::kindia::coyah,2012-07-29,2012-10-20,657,,,84,no,complete,weekly,admin2,9661,0,362388.8,GIN,|afr::gin::kindia::coyah|afr::gin::kindia::coyah,yes,,4
afr::gin::kindia::dubreka_1,1,Sunday,AFR,GIN,afr::gin::kindia::dubreka,2012-07-29,2012-11-10,352,,,105,no,complete,weekly,admin2,6401,0,152827.6,GIN,|afr::gin::kindia::dubreka|afr::gin::kindia::dubreka,yes,,4
afr::gin::kindia::forecariah_1,1,Monday,AFR,GIN,afr::gin::kindia::forecariah,2012-04-09,2012-07-08,118,,,91,no,complete,weekly,admin2,8536,0,233189.5,GIN,|afr::gin::kindia::forecariah|afr::gin::kindia::forecariah,yes,,7.86
afr::gin::kindia::kindia_1,1,Sunday,AFR,GIN,afr::gin::kindia::kindia,2012-07-22,2012-10-20,121,,,91,no,complete,weekly,admin2,10686,0,419794.1,GIN,|afr::gin::kindia::kindia|afr::gin::kindia::kindia,yes,,5
afr::mwi::central::lilongwe_2,2,Sunday,AFR,MWI,afr::mwi::central::lilongwe,2017-12-24,2018-05-12,388,,18,140,no,complete,weekly,admin2,12753,0,1650615.5,MWI,|afr::mwi::central::lilongwe|afr::mwi::central::lilongwe,yes,,8
afr::mwi::central::salima_1,1,Sunday,AFR,MWI,afr::mwi::central::salima,2018-01-21,2018-04-14,90,,4,84,no,complete,weekly,admin2,12766,0,453460.4,MWI,|afr::mwi::central::salima|afr::mwi::central::salima,yes,,4
afr::mwi::northern::karonga_2,2,Sunday,AFR,MWI,afr::mwi::northern::karonga,2017-11-26,2018-03-31,343,,5,126,no,complete,weekly,admin2,12769,0,339058.6,MWI,|afr::mwi::northern::karonga|afr::mwi::northern::karonga,yes,,5
