id,outbreak_number,start_weekday,who_region,country,location,start_date,end_date,total_suspected_cases,total_confirmed_cases,total_deaths,duration,right_censored,EpiPeriod,temporal_scale,spatial_scale,location_period_id,threshold.per.week,population,run_country,duplicated_at_same_spatial_scale,manually_selected,duplicated_at_different_spatial_scale,time_to_peak (weeks)
afr::tza::arusha::arushaurban_1,1,Monday,AFR,TZA,afr::tza::arusha::arushaurban,2010-01-25,2010-03-14,43,,0,49,no,complete,weekly,admin2,12932,0,385308.3,TZA,|afr::tza::arusha::arushaurban|afr::tza::arusha::arushaurban,yes,,3.86
afr::tza::daressalaam::ilala_1,1,Sunday,AFR,TZA,afr::tza::daressalaam::ilala,2010-01-17,2010-05-29,32,,0,133,no,incomplete,weekly,admin2,12947,0,1071291.8,TZA,|afr::tza::daressalaam::ilala|afr::tza::daressalaam::ilala,yes,,3
afr::tza::daressalaam::temeke_2,2,Monday,AFR,TZA,afr::tza::daressalaam::temeke,2010-02-08,2010-07-04,550,,5,147,no,complete,weekly,admin2,12955,0,1214051.8,TZA,|afr::tza::daressalaam::temeke|afr::tza::daressalaam::temeke,yes,,12.86
afr::tza::dodoma::kongwa_1,1,Sunday,AFR,TZA,afr::tza::dodoma::kongwa,2016-11-20,2017-02-18,67.5,,1.25,91,no,complete,weekly,admin2,13407,0,336921,TZA,|afr::tza::dodoma::kongwa|afr::tza::dodoma::kongwa,yes,,3.14
afr::tza::lindi::kilwa_1,1,Monday,AFR,TZA,afr::tza::lindi::kilwa,2010-10-11,2010-12-12,181,,0,63,no,complete,weekly,admin2,13496,0,176133.2,TZA,|afr::tza::lindi::kilwa|afr::tza::lindi::kilwa,yes,,2.86
afr::tza::manyara::hanang_1,1,Monday,AFR,TZA,afr::tza::manyara::hanang,2010-02-01,2010-04-04,79,,0,63,no,complete,weekly,admin2,13505,0,260009.2,TZA,|afr::tza::manyara::hanang|afr::tza::manyara::hanang,yes,,2.86
afr::tza::manyara::kiteto_1,1,Monday,AFR,TZA,afr::tza::manyara::kiteto,2010-11-01,2010-12-05,112,,0,35,no,complete,weekly,admin2,13506,0,222562.4,TZA,|afr::tza::manyara::kiteto|afr::tza::manyara::kiteto,yes,,2.86
afr::tza::manyara::simanjiro_1,1,Monday,AFR,TZA,afr::tza::manyara::simanjiro,2010-03-08,2010-04-18,77,,0,42,no,complete,weekly,admin2,13508,0,170510.9,TZA,|afr::tza::manyara::simanjiro|afr::tza::manyara::simanjiro,yes,,3.86
afr::tza::mbeya::chunya_2,2,Monday,AFR,TZA,afr::tza::mbeya::chunya,2010-10-11,2011-04-10,448,,5,182,no,complete,weekly,admin2,13522,0,271141.3,TZA,|afr::tza::mbeya::chunya|afr::tza::mbeya::chunya,yes,,4.86
afr::tza::morogoro::kilosa_1,1,Monday,AFR,TZA,afr::tza::morogoro::kilosa,2010-02-01,2010-04-11,36,,0,70,no,complete,weekly,admin2,14154,0,599437.1,TZA,|afr::tza::morogoro::kilosa|afr::tza::morogoro::kilosa,yes,,2.86
afr::tza::morogoro::kilosa_4,4,Sunday,AFR,TZA,afr::tza::morogoro::kilosa,2016-10-02,2017-01-28,154.4166667,,1.75,119,no,complete,weekly,admin2,14155,0,485540.2,TZA,|afr::tza::morogoro::kilosa|afr::tza::morogoro::kilosa,yes,|afr::tza::morogoro::kilosa_4,5.14
afr::tza::tanga::lushoto_1,1,Monday,AFR,TZA,afr::tza::tanga::lushoto,2010-01-25,2010-03-14,79,,0,49,no,complete,weekly,admin2,14726,0,476665.9,TZA,|afr::tza::tanga::lushoto|afr::tza::tanga::lushoto,yes,,2.86
afr::cod::kongocentral_1,1,Monday,AFR,COD,afr::cod::kongocentral,2016-12-12,2017-01-01,74,,3,21,yes,complete,weekly,admin1,3457,0,3040519.5,COD,|afr::cod::kongocentral,yes,|afr::cod::kongocentral::moandahealthdistrict_6,3
afr::cod::sudkivu_1,1,Monday,AFR,COD,afr::cod::sudkivu,2016-12-26,2017-01-29,689,,,35,no,complete,weekly,admin1,7717,0,5430491.5,COD,|afr::cod::sudkivu,yes,|afr::cod::sudkivu::fizihealthdistrict_4|afr::cod::sudkivu::kimbilulengehealthdistrict_2,3
afr::cod::tanganyika_1,1,Monday,AFR,COD,afr::cod::tanganyika,2016-12-19,2017-06-04,3004.5,,,168,no,complete,weekly,admin1,14692,0,3900439.5,COD,|afr::cod::tanganyika,yes,|afr::cod::tanganyika::kabalohealthdistrict_1|afr::cod::tanganyika::kansimbahealthdistrict_1,3
afr::eth::oromia::westarsi::shashemene_2,2,daily_group,AFR,ETH,afr::eth::oromia::westarsi::shashemene,2016-06-27,2016-10-09,72,5,1,105,no,complete,daily,admin3,16124,0,296126.6,ETH,|afr::eth::oromia::westarsi::shashemenetown,yes,|afr::eth::oromia::westarsi::shashemene_2,3.71
afr::eth::oromia::westarsi::shashemene_3,3,daily_group,AFR,ETH,afr::eth::oromia::westarsi::shashemene,2019-10-14,2019-12-29,38,0,0,77,no,complete,daily,admin3,16124,0,322117.9,ETH,|afr::eth::oromia::westarsi::shashemenetown,yes,|afr::eth::oromia::westarsi::shashemene_3,4.57
afr::eth::oromia::westarsi::shashemenetown_2,2,daily_group,AFR,ETH,afr::eth::oromia::westarsi::shashemenetown,2016-07-04,2016-12-18,92,2,0,168,no,complete,daily,admin3,16122,0,123962.6,ETH,|afr::eth::oromia::westarsi::shashemenetown,yes,|afr::eth::oromia::westarsi::shashemenetown_2,3.57
afr::eth::oromia::westarsi::shashemenetown_4,4,daily_group,AFR,ETH,afr::eth::oromia::westarsi::shashemenetown,2019-09-23,2020-01-05,48.5,0,0,105,yes,complete,daily,admin3,16122,0,135633.4,ETH,|afr::eth::oromia::westarsi::shashemenetown,yes,|afr::eth::oromia::westarsi::shashemenetown_4,9.57
afr::eth::somali::jarar::degehabur_1,1,Monday,AFR,ETH,afr::eth::somali::jarar::degehabur,2016-11-07,2016-12-11,163.5,,,35,yes,complete,weekly,admin3,16482,0,44559.9,ETH,|afr::eth::somali::jarar::degehaburcity,yes,|afr::eth::somali::jarar::degehabur_1,3
afr::eth::somali::jarar::degehabur_1,1,daily_group,AFR,ETH,afr::eth::somali::jarar::degehabur,2017-02-06,2017-04-23,419,0,4,77,no,complete,daily,admin3,16482,0,45195.8,ETH,|afr::eth::somali::jarar::degehaburcity,yes,|afr::eth::somali::jarar::degehabur_1,7.14
afr::eth::somali::jarar::degehaburcity_3,3,daily_group,AFR,ETH,afr::eth::somali::jarar::degehaburcity,2016-11-07,2017-04-23,1729,4,5,168,no,complete,daily,admin3,16483,0,39182,ETH,|afr::eth::somali::jarar::degehaburcity|afr::eth::somali::jarar::degehaburcity,yes,,3.14
afr::eth::somali::korahe::kebridehar_1,1,Monday,AFR,ETH,afr::eth::somali::korahe::kebridehar,2017-02-27,2017-05-07,271,,,70,no,complete,weekly,admin3,16494,0,58527.1,ETH,|afr::eth::somali::korahe::kebrideharcity,yes,|afr::eth::somali::korahe::kebridehar_1,3
afr::eth::somali::korahe::kebrideharcity_2,2,daily_group,AFR,ETH,afr::eth::somali::korahe::kebrideharcity,2016-11-14,2017-04-16,2251,0,3,154,no,complete,daily,admin3,16495,0,37000,ETH,|afr::eth::somali::korahe::kebrideharcity,yes,,12.71
afr::sle::southern::bo_2,2,Monday,AFR,SLE,afr::sle::southern::bo,2012-07-16,2012-09-23,506,,9,70,yes,complete,weekly,admin2,10067,0,583409.9,SLE,|afr::sle::southern::bonthe,yes,|afr::sle::southern::bo::kakua_1,5
afr::sle::southern::bonthe_1,1,Monday,AFR,SLE,afr::sle::southern::bonthe,2012-08-13,2012-09-23,225,,5,42,yes,complete,weekly,admin2,3331,0,156243.5,SLE,|afr::sle::southern::bonthe,yes,,3
afr::tza::morogoro_1,1,Monday,AFR,TZA,afr::tza::morogoro,2016-10-03,2016-12-11,599,,,70,yes,complete,weekly,admin1,14149,0,2441103,TZA,|afr::tza::morogoro,yes,|afr::tza::morogoro::kilosa_4,10
afr::ben::atlantique::abomeycalavi_1,1,Monday,AFR,BEN,afr::ben::atlantique::abomeycalavi,2013-09-30,2013-12-08,16.5,,,70,no,complete,weekly,admin2,4754,0,655431.6,BEN,,yes,,3
afr::ben::atlantique::soava_1,1,Monday,AFR,BEN,afr::ben::atlantique::soava,2011-05-09,2011-06-19,62,,0,42,no,complete,weekly,admin2,8540,0,571137.2,BEN,,yes,,3
afr::ben::atlantique::soava_2,2,Monday,AFR,BEN,afr::ben::atlantique::soava,2013-08-26,2014-04-06,311.5,,,224,no,complete,weekly,admin2,8540,0,655431.6,BEN,,yes,,5
afr::ben::collines::savalou_1,1,Monday,AFR,BEN,afr::ben::collines::savalou,2012-09-24,2013-01-13,202,,2,112,no,complete,weekly,admin2,5445,0,140346.2,BEN,,yes,,4
afr::ben::donga::djougou_1,1,Monday,AFR,BEN,afr::ben::donga::djougou,2012-09-10,2012-11-25,215,,1,77,no,complete,weekly,admin2,1355,0,258545.8,BEN,,yes,,5
afr::ben::oueme::aguegues_1,1,Monday,AFR,BEN,afr::ben::oueme::aguegues,2010-01-11,2010-02-21,48,,0,42,no,complete,weekly,admin2,2959,0,38940.6,BEN,,yes,,3
afr::ben::oueme::bonou_1,1,Monday,AFR,BEN,afr::ben::oueme::bonou,2010-01-11,2010-02-21,59,,2,42,no,complete,weekly,admin2,8311,0,39799,BEN,,yes,,3
afr::civ::abidjan::abidjanville_1,1,Monday,AFR,CIV,afr::civ::abidjan::abidjanville,2014-11-10,2014-12-21,22,,0,42,yes,complete,weekly,admin2,15289,0,4410154,CIV,,yes,,3
afr::civ::comoe::sudcomoe::aboisso_1,1,Monday,AFR,CIV,afr::civ::comoe::sudcomoe::aboisso,2012-05-21,2012-07-22,197,,11,63,no,complete,weekly,admin3,15284,0,301289.7,CIV,,yes,,3
afr::civ::comoe::sudcomoe::adiake_1,1,Monday,AFR,CIV,afr::civ::comoe::sudcomoe::adiake,2012-05-21,2012-07-22,128,,8,63,no,complete,weekly,admin3,15285,0,82065.2,CIV,,yes,,3
afr::cmr::adamaoua::ngaoundereurbanhealthdistrict_1,1,Monday,AFR,CMR,afr::cmr::adamaoua::ngaoundereurbanhealthdistrict,2011-07-11,2011-10-23,49,,2,105,no,complete,weekly,admin2,13004,0,64513,CMR,,yes,,3
afr::cmr::centre::bafiahealthdistrict_1,1,Monday,AFR,CMR,afr::cmr::centre::bafiahealthdistrict,2011-10-31,2011-12-25,46,,3,56,no,complete,weekly,admin2,13012,0,144066,CMR,,yes,,3
afr::cmr::centre::biyemassihealthdistrict_1,1,Monday,AFR,CMR,afr::cmr::centre::biyemassihealthdistrict,2011-02-28,2011-12-04,1012,,20,280,no,complete,weekly,admin2,13013,0,260006,CMR,,yes,,6
afr::cmr::centre::citevertehealthdistrict_1,1,Monday,AFR,CMR,afr::cmr::centre::citevertehealthdistrict,2011-03-07,2012-01-29,559,,29,329,no,complete,weekly,admin2,13014,0,48548.8,CMR,,yes,,3
afr::cmr::centre::djoungolohealthdistrict_2,2,Monday,AFR,CMR,afr::cmr::centre::djoungolohealthdistrict,2011-02-28,2011-11-27,507,,17,273,no,complete,weekly,admin2,13015,0,184459.9,CMR,,yes,,4
afr::cmr::centre::efoulanhealthdistrict_1,1,Monday,AFR,CMR,afr::cmr::centre::efoulanhealthdistrict,2011-03-07,2011-05-15,101,,9,70,no,complete,weekly,admin2,13017,0,505025.8,CMR,,yes,,3
afr::cmr::centre::efoulanhealthdistrict_2,2,Monday,AFR,CMR,afr::cmr::centre::efoulanhealthdistrict,2011-09-26,2011-11-13,42,,7,49,no,complete,weekly,admin2,13017,0,505025.8,CMR,,yes,,3
afr::cmr::centre::nkolndongohealthdistrict_2,2,Monday,AFR,CMR,afr::cmr::centre::nkolndongohealthdistrict,2011-03-07,2011-12-11,224,,14,280,no,complete,weekly,admin2,13033,0,789491.2,CMR,,yes,,4
afr::cmr::centre::obalahealthdistrict_2,2,Monday,AFR,CMR,afr::cmr::centre::obalahealthdistrict,2011-03-14,2011-12-25,801,,6,287,no,complete,weekly,admin2,13035,0,55407.3,CMR,,yes,,8
afr::cmr::farnorth_1,1,Monday,AFR,CMR,afr::cmr::farnorth,2019-07-08,2019-12-08,328,,11,154,yes,complete,weekly,admin1,2570,0,4521621,CMR,,yes,|afr::cmr::farnorth::kaelehealthdistrict_2,9
afr::cmr::farnorth::bogohealthdistrict_1,1,Monday,AFR,CMR,afr::cmr::farnorth::bogohealthdistrict,2011-08-15,2011-09-25,15,,1,42,no,complete,weekly,admin2,13054,0,138928.4,CMR,,yes,,3
afr::cmr::farnorth::bourhahealthdistrict_1,1,Monday,AFR,CMR,afr::cmr::farnorth::bourhahealthdistrict,2014-07-07,2014-11-30,55,,2,147,no,complete,weekly,admin2,13055,0,222906.5,CMR,,yes,,3
afr::cmr::farnorth::fotokolhealthdistrict_1,1,Monday,AFR,CMR,afr::cmr::farnorth::fotokolhealthdistrict,2018-10-15,2018-12-09,270,,,56,no,complete,weekly,admin2,15273,0,65892.2,CMR,,yes,,3
afr::cmr::farnorth::goulfeyhealthdistrict_2,2,Monday,AFR,CMR,afr::cmr::farnorth::goulfeyhealthdistrict,2011-06-27,2011-09-18,63,,4,84,no,complete,weekly,admin2,13057,0,102444.6,CMR,,yes,,3
afr::cmr::farnorth::guerehealthdistrict_2,2,Monday,AFR,CMR,afr::cmr::farnorth::guerehealthdistrict,2010-06-07,2010-12-26,498,,25,203,no,complete,weekly,admin2,13058,0,69342.2,CMR,,yes,,3
afr::cmr::farnorth::guerehealthdistrict_4,4,Monday,AFR,CMR,afr::cmr::farnorth::guerehealthdistrict,2011-04-25,2011-10-30,509,,11,189,no,complete,weekly,admin2,13058,0,70781.3,CMR,,yes,,5
afr::cmr::farnorth::guidiguishealthdistrict_1,1,Monday,AFR,CMR,afr::cmr::farnorth::guidiguishealthdistrict,2010-09-20,2010-12-12,54,,6,84,no,complete,weekly,admin2,13059,0,82879.1,CMR,,yes,,3
afr::cmr::farnorth::hinahealthdistrict_1,1,Monday,AFR,CMR,afr::cmr::farnorth::hinahealthdistrict,2010-06-28,2010-11-28,54,,10,154,no,complete,weekly,admin2,13060,0,209218.5,CMR,,yes,,12
afr::cmr::farnorth::hinahealthdistrict_2,2,Monday,AFR,CMR,afr::cmr::farnorth::hinahealthdistrict,2014-06-23,2014-11-16,406,,16,147,no,complete,weekly,admin2,13060,0,242527.4,CMR,,yes,,4
afr::cmr::farnorth::kaelehealthdistrict_1,1,Monday,AFR,CMR,afr::cmr::farnorth::kaelehealthdistrict,2011-06-27,2011-11-27,307,,25,154,no,complete,weekly,admin2,13061,0,167732.3,CMR,,yes,,3
afr::cmr::farnorth::kaelehealthdistrict_2,2,Monday,AFR,CMR,afr::cmr::farnorth::kaelehealthdistrict,2019-07-08,2019-11-03,139,,,119,yes,incomplete,weekly,admin2,13061,0,201970.8,CMR,,yes,|afr::cmr::farnorth::kaelehealthdistrict_2,3
afr::cmr::farnorth::kolofatahealthdistrict_1,1,Monday,AFR,CMR,afr::cmr::farnorth::kolofatahealthdistrict,2010-07-26,2010-12-12,1416,,63,140,no,complete,weekly,admin2,13063,0,132745,CMR,,yes,,8
afr::cmr::farnorth::kousserihealthdistrict_2,2,Monday,AFR,CMR,afr::cmr::farnorth::kousserihealthdistrict,2010-09-13,2011-01-30,276,,18,140,no,complete,weekly,admin2,13083,0,174240.7,CMR,,yes,,3
afr::cmr::farnorth::kousserihealthdistrict_4,4,Monday,AFR,CMR,afr::cmr::farnorth::kousserihealthdistrict,2011-04-11,2011-10-30,869,,31,203,no,complete,weekly,admin2,13083,0,177166.1,CMR,,yes,,20
afr::cmr::farnorth::kozahealthdistrict_1,1,Monday,AFR,CMR,afr::cmr::farnorth::kozahealthdistrict,2010-06-14,2010-11-07,825,,42,147,no,complete,weekly,admin2,13064,0,68798.6,CMR,,yes,,9
afr::cmr::farnorth::kozahealthdistrict_2,2,Monday,AFR,CMR,afr::cmr::farnorth::kozahealthdistrict,2014-07-21,2014-11-16,146,,12,119,no,complete,weekly,admin2,13064,0,85076.6,CMR,,yes,,12
afr::cmr::farnorth::madahealthdistrict_1,1,Monday,AFR,CMR,afr::cmr::farnorth::madahealthdistrict,2010-08-09,2010-12-26,628,,26,140,no,complete,weekly,admin2,13065,0,52409.1,CMR,,yes,,3
afr::cmr::farnorth::madahealthdistrict_2,2,Monday,AFR,CMR,afr::cmr::farnorth::madahealthdistrict,2011-09-19,2011-12-04,124,,11,77,no,complete,weekly,admin2,13065,0,60609.7,CMR,,yes,,3
afr::cmr::farnorth::magahealthdistrict_1,1,Monday,AFR,CMR,afr::cmr::farnorth::magahealthdistrict,2010-11-01,2011-01-30,222,,4,91,no,complete,weekly,admin2,13066,0,159700.8,CMR,,yes,,3
afr::cmr::farnorth::magahealthdistrict_2,2,Monday,AFR,CMR,afr::cmr::farnorth::magahealthdistrict,2011-07-04,2011-10-23,1202,,15,112,no,complete,weekly,admin2,13066,0,159700.8,CMR,,yes,,7
afr::cmr::farnorth::mindifhealthdistrict_1,1,Monday,AFR,CMR,afr::cmr::farnorth::mindifhealthdistrict,2011-09-12,2011-11-27,146,,4,77,no,complete,weekly,admin2,13072,0,122106.2,CMR,,yes,,3
afr::cmr::farnorth::mogodehealthdistrict_1,1,Monday,AFR,CMR,afr::cmr::farnorth::mogodehealthdistrict,2010-07-19,2010-11-07,486,,38,112,no,complete,weekly,admin2,13073,0,78226.3,CMR,,yes,,4
afr::cmr::farnorth::mogodehealthdistrict_2,2,Monday,AFR,CMR,afr::cmr::farnorth::mogodehealthdistrict,2014-05-19,2014-11-16,1198,,55,182,no,complete,weekly,admin2,13073,0,98466,CMR,,yes,,7
afr::cmr::farnorth::mokolohealthdistrict_1,1,Monday,AFR,CMR,afr::cmr::farnorth::mokolohealthdistrict,2010-07-05,2010-11-07,1883,,94,126,no,complete,weekly,admin2,13074,0,229798.2,CMR,,yes,,8
afr::cmr::farnorth::mokolohealthdistrict_2,2,Monday,AFR,CMR,afr::cmr::farnorth::mokolohealthdistrict,2014-09-08,2014-10-26,59,,6,49,no,complete,weekly,admin2,13074,0,242874.4,CMR,,yes,,3
afr::cmr::farnorth::morahealthdistrict_1,1,Monday,AFR,CMR,afr::cmr::farnorth::morahealthdistrict,2010-08-30,2010-11-21,197,,17,84,no,complete,weekly,admin2,13075,0,227090.4,CMR,,yes,,4
afr::cmr::farnorth::morahealthdistrict_3,3,Monday,AFR,CMR,afr::cmr::farnorth::morahealthdistrict,2011-08-08,2011-11-20,165,,13,105,no,complete,weekly,admin2,13075,0,241114.1,CMR,,yes,,3
afr::cmr::farnorth::rouahealthdistrict_1,1,Monday,AFR,CMR,afr::cmr::farnorth::rouahealthdistrict,2010-07-12,2010-10-10,232,,38,91,no,complete,weekly,admin2,13079,0,30381.2,CMR,,yes,,4
afr::cmr::farnorth::tokomberehealthdistrict_2,2,Monday,AFR,CMR,afr::cmr::farnorth::tokomberehealthdistrict,2010-08-16,2010-11-21,316,,19,98,no,complete,weekly,admin2,13080,0,98185.8,CMR,,yes,,3
afr::cmr::farnorth::tokomberehealthdistrict_3,3,Monday,AFR,CMR,afr::cmr::farnorth::tokomberehealthdistrict,2011-08-15,2011-10-09,31,,2,56,no,complete,weekly,admin2,13080,0,98498.6,CMR,,yes,,4
afr::cmr::farnorth::velehealthdistrict_2,2,Monday,AFR,CMR,afr::cmr::farnorth::velehealthdistrict,2010-09-27,2011-01-23,186,,6,119,no,complete,weekly,admin2,13081,0,73362.8,CMR,,yes,,3
afr::cmr::farnorth::velehealthdistrict_3,3,Monday,AFR,CMR,afr::cmr::farnorth::velehealthdistrict,2011-08-08,2011-10-23,71,,1,77,no,complete,weekly,admin2,13081,0,84902.8,CMR,,yes,,3
afr::cmr::farnorth::yagouahealthdistrict_2,2,Monday,AFR,CMR,afr::cmr::farnorth::yagouahealthdistrict,2010-08-16,2010-12-26,180,,15,133,no,complete,weekly,admin2,13082,0,165007.1,CMR,,yes,,5
afr::cmr::littoral::bonassamahealthdistrict_2,2,Monday,AFR,CMR,afr::cmr::littoral::bonassamahealthdistrict,2011-01-10,2011-05-22,248,,3,133,no,complete,weekly,admin2,13088,0,410201,CMR,,yes,,7
afr::cmr::littoral::bonassamahealthdistrict_4,4,Monday,AFR,CMR,afr::cmr::littoral::bonassamahealthdistrict,2011-08-01,2012-01-29,375,,10,182,no,complete,weekly,admin2,13088,0,410201,CMR,,yes,,3
afr::cmr::littoral::citedespalmiershealthdistrict_2,2,Monday,AFR,CMR,afr::cmr::littoral::citedespalmiershealthdistrict,2011-09-05,2012-02-19,151,,4,168,no,complete,weekly,admin2,13089,0,246338.3,CMR,,yes,,6
afr::cmr::littoral::deidohealthdistrict_2,2,Monday,AFR,CMR,afr::cmr::littoral::deidohealthdistrict,2011-01-17,2011-06-12,201,,9,147,no,complete,weekly,admin2,13090,0,185690.6,CMR,,yes,,4
afr::cmr::littoral::deidohealthdistrict_4,4,Monday,AFR,CMR,afr::cmr::littoral::deidohealthdistrict,2011-09-05,2012-01-22,1338,,20,140,no,complete,weekly,admin2,13090,0,185690.6,CMR,,yes,,10
afr::cmr::littoral::edeahealthdistrict_1,1,Monday,AFR,CMR,afr::cmr::littoral::edeahealthdistrict,2011-06-20,2011-09-25,49,,1,98,no,complete,weekly,admin2,13092,0,212047.8,CMR,,yes,,4
afr::cmr::littoral::logbabahealthdistrict_1,1,Monday,AFR,CMR,afr::cmr::littoral::logbabahealthdistrict,2010-10-11,2010-12-05,12,,0,56,no,complete,weekly,admin2,13094,0,74558.8,CMR,,yes,,3
afr::cmr::littoral::logbabahealthdistrict_2,2,Monday,AFR,CMR,afr::cmr::littoral::logbabahealthdistrict,2011-01-10,2011-05-22,90,,4,133,no,complete,weekly,admin2,13094,0,78728.1,CMR,,yes,,3
afr::cmr::littoral::logbabahealthdistrict_3,3,Monday,AFR,CMR,afr::cmr::littoral::logbabahealthdistrict,2011-08-15,2012-02-12,144,,1,182,no,complete,weekly,admin2,13094,0,78728.1,CMR,,yes,,11
afr::cmr::littoral::newbellhealthdistrict_4,4,Monday,AFR,CMR,afr::cmr::littoral::newbellhealthdistrict,2011-01-24,2011-12-25,941,,10,336,no,complete,weekly,admin2,13101,0,77276.9,CMR,,yes,,38
afr::cmr::littoral::nylonhealthdistrict_1,1,Monday,AFR,CMR,afr::cmr::littoral::nylonhealthdistrict,2010-10-04,2010-12-05,27,,0,63,no,complete,weekly,admin2,13106,0,76085.2,CMR,,yes,,3
afr::cmr::littoral::nylonhealthdistrict_4,4,Monday,AFR,CMR,afr::cmr::littoral::nylonhealthdistrict,2011-08-08,2012-02-12,1267,,13,189,no,complete,weekly,admin2,13106,0,80460.7,CMR,,yes,,13
afr::cmr::north_3,3,Monday,AFR,CMR,afr::cmr::north,2018-08-27,2018-12-09,448,,,105,no,complete,weekly,admin1,5543,0,2883205.5,CMR,,yes,|afr::cmr::north::garoua1healthdistrict_3|afr::cmr::north::pitoahealthdistrict_5,8
afr::cmr::north_4,4,Monday,AFR,CMR,afr::cmr::north,2019-10-28,2019-12-01,136,,,35,no,complete,weekly,admin1,5543,0,3002178.3,CMR,,yes,|afr::cmr::north::garoua2healthdistrict_2,3
afr::cmr::north::bibemihealthdistrict_2,2,Monday,AFR,CMR,afr::cmr::north::bibemihealthdistrict,2011-04-25,2011-11-13,1386,,84,203,no,complete,weekly,admin2,13122,0,163591.1,CMR,,yes,,5
afr::cmr::north::figuilhealthdistrict_2,2,Monday,AFR,CMR,afr::cmr::north::figuilhealthdistrict,2010-08-23,2010-12-05,123,,8,105,no,complete,weekly,admin2,13109,0,87956.9,CMR,,yes,,10
afr::cmr::north::figuilhealthdistrict_3,3,Monday,AFR,CMR,afr::cmr::north::figuilhealthdistrict,2011-07-18,2011-11-27,425,,18,133,no,complete,weekly,admin2,13109,0,96327.8,CMR,,yes,,3
afr::cmr::north::figuilhealthdistrict_4,4,Monday,AFR,CMR,afr::cmr::north::figuilhealthdistrict,2014-08-11,2014-11-09,25,,0,91,no,complete,weekly,admin2,13109,0,96108,CMR,,yes,,4
afr::cmr::north::garoua1healthdistrict_1,1,Monday,AFR,CMR,afr::cmr::north::garoua1healthdistrict,2011-08-29,2011-10-30,94,,4,63,no,complete,weekly,admin2,13110,0,98207.6,CMR,,yes,,3
afr::cmr::north::garoua1healthdistrict_3,3,Monday,AFR,CMR,afr::cmr::north::garoua1healthdistrict,2018-09-10,2018-12-02,119,,,84,yes,complete,weekly,admin2,13110,0,113610.4,CMR,,yes,|afr::cmr::north::garoua1healthdistrict_3,3
afr::cmr::north::garoua1healthdistrict_4,4,Monday,AFR,CMR,afr::cmr::north::garoua1healthdistrict,2019-02-25,2019-10-13,125,,,231,yes,incomplete,weekly,admin2,13110,0,121770.4,CMR,,yes,,18
