"outbreak_number","start_weekday","country","location","temporal_scale","spatial_scale","population","area","who_region","start_date","end_date","total_suspected_cases","total_confirmed_cases","total_deaths","duration","right_censored","EpiPeriod","location_period_id","threshold","cfr","confirmed_prop","population_density","attack_rate","time_to_peak..weeks.","total_suspected_cases.1","mean_R0","definition","pop_cat","confirmed_attackrate","rural_urban"
1,"daily_group","ETH","afr::eth::oromia::westharerge::doba","daily","admin3",171302,616.7652877,"AFR","9/16/2019","11/3/2019",8.5,0,0,7,"no","complete","16098",0.758893649811444,0,0,277.742608762578,0.049619951,3.86,8.5,1.91,"old_definition","100,000-1,000,000",0,"Rural settings"
1,"daily_group","ETH","afr::eth::oromia::westharerge::gumbibordede","daily","admin3",85935,1383.250888,"AFR","10/10/2016","11/13/2016",34,1,2,5,"no","complete","16101",10.8221330075057,5.9,2.94117647058824,62.1253893603139,0.395645823,3,34,2.13,"old_definition","10,000-100,000",0.0116367021586083,"Rural settings"
1,"daily_group","ETH","afr::eth::oromia::westharerge::meiso","daily","admin3",113918,1512.665896,"AFR","8/8/2016","10/2/2016",13,2,0,8,"no","complete","16104",2.63347320002107,0,15.3846153846154,75.3094257636387,0.114116468,1.29,13,1.67,"old_definition","100,000-1,000,000",0.0175564880001405,"Rural settings"
1,"daily_group","ETH","afr::eth::snnp::gamo","daily","admin2",1452418,7414.682927,"AFR","6/6/2016","7/17/2016",101,0,0,6,"no","complete","16660",1.35635884435472,0,0,195.884033653163,0.06953921,3.71,101,2.57,"old_definition",">1,000,000",0,"Rural settings"
1,"daily_group","ETH","afr::eth::snnp::gamo::arbaminchzuria","daily","admin3",48102,433.2389188,"AFR","6/6/2016","7/17/2016",92,0,0,6,"no","complete","16240",38.0441561681427,0,0,111.028806306771,1.912573964,3.71,92,2.43,"old_definition","10,000-100,000",0,"Rural settings"
1,"daily_group","ETH","afr::eth::snnp::gedeo","daily","admin2",1114178,1361.391505,"AFR","6/6/2016","8/7/2016",141,55,2,9,"no","complete","16659",1.05010150981262,1.4,39.0070921985816,818.411159396797,0.126550681,3.57,141,1.92,"old_definition",">1,000,000",0.0493637461877725,"Rural settings"
1,"daily_group","ETH","afr::eth::snnp::gofa::ubadebretsehay","daily","admin3",112056,753.8915911,"AFR","12/16/2019","1/19/2020",412,0,4,5,"yes","complete","16275",87.1885485828514,1,0,148.636755367572,3.676716656,3.57,412,1.91,"old_definition","100,000-1,000,000",0,"Rural settings"
1,"daily_group","ETH","afr::eth::snnp::sidama","daily","admin2",4121812,6690.623915,"AFR","9/26/2016","11/20/2016",22,5,0,8,"no","complete","16662",0.0655051710267232,0,22.7272727272727,616.057942034244,0.005337457,2.57,22,1.9,"old_definition",">1,000,000",0.0012130587227171,"Rural settings"
1,"daily_group","ETH","afr::eth::snnp::sidama::wondogenet","daily","admin3",208074,205.0547347,"AFR","8/26/2019","9/29/2019",4.5,0,0,5,"no","complete","16392",0.624777723309976,0,0,1014.7241920769,0.021626882,3.43,4.5,1.94,"old_definition","100,000-1,000,000",0,"Urban settings"
1,"daily_group","ETH","afr::eth::snnp::southomo","daily","admin2",807802,22743.27033,"AFR","12/23/2019","1/26/2020",912,7,17,5,"yes","complete","16615",23.8919933350004,1.9,0.767543859649123,35.5182868725107,1.128988481,3.29,912,2.36,"old_definition","100,000-1,000,000",0.00866548981062191,"Rural settings"
1,"daily_group","ETH","afr::eth::snnp::southomo::male","daily","admin3",111281,1431.239332,"AFR","12/23/2019","1/26/2020",409,3,3,5,"yes","complete","16412",73.9569198695195,0.7,0.733496332518337,77.7514965610238,3.675370537,3.29,409,2.15,"old_definition","100,000-1,000,000",0.0269587800253413,"Rural settings"
1,"daily_group","ETH","afr::eth::snnp::southomo::selamago","daily","admin3",43836,4571.869304,"AFR","1/6/2020","1/26/2020",116,0,1,3,"yes","complete","16413",88.283602518478,0.9,0,9.58820059918318,2.646221658,3.14,116,1.62,"old_definition","10,000-100,000",0,"Rural settings"
1,"daily_group","ETH","afr::eth::somali::afder","daily","admin2",555901,42097.26923,"AFR","5/9/2016","6/26/2016",63,10,5,7,"no","complete","16625",2.10469130294783,7.9,15.8730158730159,13.2051558252583,0.113329506,2.86,63,1.78,"old_definition","100,000-1,000,000",0.0179888145551096,"Rural settings"
1,"daily_group","ETH","afr::eth::somali::erer","daily","admin2",336047,9989.161977,"AFR","9/11/2017","10/29/2017",68,47,0,7,"no","complete","16646",2.88650099539648,0,69.1176470588235,33.6411603669804,0.202352365,4.29,68,2.03,"old_definition","100,000-1,000,000",0.139861388436737,"Rural settings"
1,"daily_group","ETH","afr::eth::somali::erer::babile","daily","admin3",5637,347.4379641,"AFR","9/11/2017","10/29/2017",68,47,0,7,"no","complete","16455",172.077346106085,0,69.1176470588235,16.2244791371663,12.06218037,4.29,68,2.03,"old_definition","<10,000",8.3377683164804,"Rural settings"
1,"daily_group","ETH","afr::eth::somali::fafan","daily","admin2",1266171,16306.34946,"AFR","9/5/2016","12/11/2016",1509,0,1,14,"no","complete","16613",0.497563125359845,0.1,0,77.648955280025,1.191781447,6.86,1509,1.89,"old_definition",">1,000,000",0,"Rural settings"
1,"daily_group","ETH","afr::eth::somali::jarar::degehabur","daily","admin3",45195,3603.849414,"AFR","2/6/2017","4/23/2017",419,0,4,11,"no","complete","16482",36.9509901537781,1,0,12.5407570650509,9.270768782,7.14,419,1.72,"old_definition","10,000-100,000",0,"Rural settings"
1,"daily_group","ETH","afr::eth::somali::nogob","daily","admin2",170752,16141.67707,"AFR","2/27/2017","4/16/2017",672,0,18,7,"no","complete","16643",52.8837143928036,2.7,0,10.5783308177655,3.935515667,4.57,672,3.18,"old_definition","100,000-1,000,000",0,"Rural settings"
1,"daily_group","ETH","afr::eth::somali::shebelle","daily","admin2",614317,33933.05914,"AFR","10/10/2016","11/13/2016",928,5,13,5,"no","complete","16624",34.3959226262662,1.4,0.538793103448276,18.1037906858167,1.510619816,4.14,928,2.72,"old_definition","100,000-1,000,000",0.00813912035642836,"Rural settings"
1,"daily_group","ETH","afr::eth::somali::shebelle::kelafo","daily","admin3",133548,5635.027088,"AFR","12/30/2019","1/26/2020",204,5,7,4,"yes","complete","16522",42.456644801869,3.4,2.45098039215686,23.6996198801591,1.527538336,1.86,204,2.12,"old_definition","100,000-1,000,000",0.0374397220475035,"Rural settings"
1,"daily_group","ETH","afr::eth::somali::sitti","daily","admin2",709270,30462.27177,"AFR","7/25/2016","10/9/2016",271,17,0,11,"no","complete","16644",3.0594836945028,0,6.27306273062731,23.2835556505837,0.382082785,5.29,271,1.73,"old_definition","100,000-1,000,000",0.0239683054408053,"Rural settings"
