"country","year_month","has_data","outbreak_sCh","outbreak_deaths","outbreak_cCh","outbreak_duration","total_pop","outbreak_pop","outbreak_pop_censored","outbreak_number","outbreak_sl"
"AGO","2010-09","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2011-10","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2012-11","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2013-12","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2014-01","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2015-02","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2016-03","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2017-04","yes",61,NA,NA,0,0,975402.6,975402.6,0,"admin1"
"AGO","2018-05","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2019-06","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2020-07","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2010-08","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2011-09","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2012-10","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2013-11","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2014-12","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2015-01","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2016-02","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2017-03","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2018-04","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2019-05","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2020-06","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2010-07","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2011-08","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2012-09","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2013-10","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2014-11","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2015-12","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2016-01","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2017-02","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2018-03","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2019-04","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2020-05","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2010-06","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2011-07","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2012-08","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2013-09","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2014-10","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2015-11","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2016-12","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2017-01","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2018-02","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2019-03","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2020-04","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2010-05","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2011-06","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2012-07","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2013-08","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2014-09","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2015-10","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2016-11","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2017-12","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2018-01","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2019-02","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2020-03","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2010-04","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2011-05","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2012-06","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2013-07","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2014-08","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2015-09","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2016-10","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2017-11","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2018-12","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2019-01","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2020-02","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2010-03","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2011-04","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2012-05","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2013-06","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2014-07","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2015-08","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2016-09","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2017-10","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2018-11","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2019-12","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2020-01","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2010-02","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2011-03","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2012-04","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2013-05","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2014-06","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2015-07","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2016-08","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2017-09","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2018-10","yes",0,NA,NA,0,0,0,0,0,NA
"AGO","2019-11","no",0,NA,NA,0,0,0,0,0,NA
"AGO","2020-12","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2010-01","yes",107,2,NA,0,0,78739.6,78739.6,0,"admin2"
"BEN","2011-02","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2012-03","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2013-04","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2014-05","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2015-06","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2016-07","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2017-08","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2018-09","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2019-10","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2020-11","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2010-12","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2011-01","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2012-02","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2013-03","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2014-04","yes",311.5,NA,NA,0,0,655431.6,655431.6,0,"admin2"
"BEN","2015-05","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2016-06","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2017-07","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2018-08","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2019-09","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2020-10","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2010-11","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2011-12","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2012-01","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2013-02","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2014-03","yes",311.5,NA,NA,0,0,655431.6,655431.6,0,"admin2"
"BEN","2015-04","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2016-05","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2017-06","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2018-07","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2019-08","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2020-09","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2010-10","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2011-11","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2012-12","yes",202,2,NA,0,0,140346.2,140346.2,0,"admin2"
"BEN","2013-01","yes",202,2,NA,0,0,140346.2,140346.2,0,"admin2"
"BEN","2014-02","yes",311.5,NA,NA,0,0,655431.6,655431.6,0,"admin2"
"BEN","2015-03","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2016-04","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2017-05","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2018-06","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2019-07","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2020-08","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2010-09","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2011-10","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2012-11","yes",417,3,NA,0,0,398892,398892,0,"admin2"
"BEN","2013-12","yes",328,NA,NA,0,0,1310863.2,1310863.2,0,"admin2"
"BEN","2014-01","yes",311.5,NA,NA,0,0,655431.6,655431.6,0,"admin2"
"BEN","2015-02","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2016-03","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2017-04","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2018-05","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2019-06","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2020-07","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2010-08","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2011-09","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2012-10","yes",417,3,NA,0,0,398892,398892,0,"admin2"
"BEN","2013-11","yes",328,NA,NA,0,0,1310863.2,1310863.2,0,"admin2"
"BEN","2014-12","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2015-01","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2016-02","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2017-03","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2018-04","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2019-05","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2020-06","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2010-07","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2011-08","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2012-09","yes",417,3,NA,0,0,398892,398892,0,"admin2"
"BEN","2013-10","yes",328,NA,NA,0,0,1310863.2,1310863.2,0,"admin2"
"BEN","2014-11","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2015-12","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2016-01","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2017-02","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2018-03","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2019-04","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2020-05","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2010-06","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2011-07","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2012-08","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2013-09","yes",328,NA,NA,0,0,1310863.2,1310863.2,0,"admin2"
"BEN","2014-10","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2015-11","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2016-12","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2017-01","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2018-02","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2019-03","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2020-04","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2010-05","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2011-06","yes",62,0,NA,0,0,571137.2,571137.2,0,"admin2"
"BEN","2012-07","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2013-08","yes",311.5,NA,NA,0,0,655431.6,655431.6,0,"admin2"
"BEN","2014-09","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2015-10","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2016-11","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2017-12","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2018-01","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2019-02","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2020-03","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2010-04","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2011-05","yes",62,0,NA,0,0,571137.2,571137.2,0,"admin2"
"BEN","2012-06","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2013-07","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2014-08","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2015-09","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2016-10","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2017-11","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2018-12","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2019-01","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2020-02","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2010-03","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2011-04","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2012-05","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2013-06","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2014-07","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2015-08","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2016-09","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2017-10","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2018-11","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2019-12","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2020-01","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2010-02","yes",107,2,NA,0,0,78739.6,78739.6,0,"admin2"
"BEN","2011-03","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2012-04","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2013-05","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2014-06","yes",0,NA,NA,0,0,0,0,0,NA
"BEN","2015-07","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2016-08","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2017-09","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2018-10","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2019-11","no",0,NA,NA,0,0,0,0,0,NA
"BEN","2020-12","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2010-01","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2011-02","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2012-03","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2013-04","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2014-05","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2015-06","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2016-07","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2017-08","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2018-09","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2019-10","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2020-11","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2010-12","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2011-01","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2012-02","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2013-03","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2014-04","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2015-05","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2016-06","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2017-07","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2018-08","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2019-09","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2020-10","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2010-11","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2011-12","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2012-01","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2013-02","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2014-03","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2015-04","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2016-05","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2017-06","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2018-07","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2019-08","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2020-09","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2010-10","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2011-11","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2012-12","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2013-01","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2014-02","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2015-03","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2016-04","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2017-05","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2018-06","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2019-07","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2020-08","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2010-09","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2011-10","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2012-11","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2013-12","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2014-01","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2015-02","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2016-03","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2017-04","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2018-05","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2019-06","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2020-07","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2010-08","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2011-09","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2012-10","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2013-11","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2014-12","yes",22,0,NA,0,0,4410154,4410154,0,"admin2"
"CIV","2015-01","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2016-02","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2017-03","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2018-04","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2019-05","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2020-06","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2010-07","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2011-08","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2012-09","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2013-10","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2014-11","yes",22,0,NA,0,0,4410154,4410154,0,"admin2"
"CIV","2015-12","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2016-01","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2017-02","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2018-03","no",0,NA,NA,0,0,0,0,0,NA
