outbreak_number,location,start_weekday,duration,threshold,total_suspected_cases,attack_rate,total_deaths,cfr,spatial_scale,temporal_scale,country,population,area,mean_R0,population_density,rural_urban,pop_cat
1,afr::cmr::littoral::edeahealthdistrict,Monday,14,0.078050203,49,0.231079926,1,2.040816327,Second administrative level,weekly,CMR,212047.8,5476.598179,2.12,38.71888955,rural,"Population <1,000,000"
1,afr::cmr::littoral::logbabahealthdistrict,Monday,8,0.743069634,12,0.160946702,0,0,Second administrative level,weekly,CMR,74558.8,12.59902777,2.03,5917.821705,urban,"Population <100,000"
1,afr::cmr::littoral::nylonhealthdistrict,Monday,9,4.24190321,27,0.35486543,0,0,Second administrative level,weekly,CMR,76085.2,12.92689494,1.85,5885.806325,urban,"Population <100,000"
1,afr::cmr::north::garoua1healthdistrict,Monday,9,1.46800236,94,0.957155898,4,4.255319149,Second administrative level,weekly,CMR,98207.6,429.4137305,1.52,228.7015832,rural,"Population <100,000"
1,afr::cmr::north::garoua2healthdistrict,Monday,16,0.855237823,63,0.904863236,1,1.587301587,Second administrative level,weekly,CMR,69623.8,103.6343114,1.92,671.8219001,rural,"Population <100,000"
1,afr::cmr::north::golombehealthdistrict,Monday,7,0.687190068,22,0.288679667,0,0,Second administrative level,weekly,CMR,76209,768.5359595,2.16,99.16126768,rural,"Population <100,000"
1,afr::cmr::north::lagdohealthdistrict,Monday,28,0.578514873,468,2.943151831,14,2.991452991,Second administrative level,weekly,CMR,159013.2,2420.910601,1.84,65.68321851,rural,"Population <1,000,000"
1,afr::cmr::north::reyboubahealthdistrict,Monday,18,0.525226833,267,1.750198495,23,8.61423221,Second administrative level,weekly,CMR,152554.1,8106.365968,1.57,18.8190492,rural,"Population <1,000,000"
1,afr::cmr::north::tchollirehealthdistrict,Monday,14,0.546935539,367,2.1600755,3,0.817438692,Second administrative level,weekly,CMR,169901.5,15708.09464,2.16,10.81617497,rural,"Population <1,000,000"
1,afr::cmr::southwest::muyukahealthdistrict,Monday,25,0.118718259,74,0.572791855,1,1.351351351,Second administrative level,weekly,CMR,129191.8,513.2346081,1.87,251.7207491,rural,"Population <1,000,000"
1,afr::cmr::southwest::tombelhealthdistrict,Monday,11,0.693735911,164,2.868414165,2,1.219512195,Second administrative level,weekly,CMR,57174.4,809.257191,2,70.65046889,rural,"Population <100,000"
1,afr::cmr::west::kouoptamohealthdistrict,Monday,16,0.217241306,69,0.856258096,2,2.898550725,Second administrative level,weekly,CMR,80583.2,436.7969619,2.24,184.4866312,rural,"Population <100,000"
1,afr::cmr::west::mifihealthdistrict,Monday,10,0.090628691,29,0.081902272,2,6.896551724,Second administrative level,weekly,CMR,354080.5,415.5618636,2.08,852.0524404,rural,"Population <1,000,000"
1,afr::cod::bandundu::bolobohealthdistrict,Monday,21,3.883972669,1324,5.772575538,56,4.229607251,Second administrative level,weekly,COD,229360.4,2442.089923,2.93,93.91971927,rural,"Population <1,000,000"
1,afr::cod::bandundu::bosobehealthdistrict,Monday,12,0.235458847,122,0.53191406,12,9.836065574,Second administrative level,weekly,COD,229360.4,2442.089923,2.56,93.91971927,rural,"Population <1,000,000"
1,afr::cod::bandundu::ipamuhealthdistrict,Monday,9,0.372707232,102,0.444715034,10,9.803921569,Second administrative level,weekly,COD,229360.4,2442.089923,1.53,93.91971927,rural,"Population <1,000,000"
1,afr::cod::bandundu::mokalahealthdistrict,Monday,5,0.139487148,16,0.099010514,0,0,Second administrative level,weekly,COD,161599,3216.6983,1.94,50.23753704,rural,"Population <1,000,000"
1,afr::cod::equateur::bangabolahealthdistrict,Monday,9,0.253781268,28,0.419221591,2,7.142857143,Second administrative level,weekly,COD,66790.5,2479.416524,1.93,26.937991,rural,"Population <100,000"
1,afr::cod::equateur::basankusuhealthdistrict,Monday,6,0.086194067,12,0.065277863,1,8.333333333,Second administrative level,weekly,COD,183829.5,10441.7158,1.97,17.60529625,rural,"Population <1,000,000"
1,afr::cod::equateur::bingahealthdistrict,Monday,17,0.809452831,73,0.516853895,1,1.369863014,Second administrative level,weekly,COD,141239.1,4657.922099,1.96,30.32234052,rural,"Population <1,000,000"
1,afr::cod::equateur::lilangabobangihealthdistrict,Monday,28,3.598547033,120,6.14990083,4,3.333333333,Second administrative level,weekly,COD,19512.5,5062.497321,1.6,3.854323027,rural,"Population <100,000"
1,afr::cod::equateur::mawuyahealthdistrict,Monday,20,0.120101892,14,0.129170152,2,14.28571429,Second administrative level,weekly,COD,108384.2,3578.464974,1.91,30.28790299,rural,"Population <1,000,000"
1,afr::cod::equateur::wangatahealthdistrict,Monday,11,8.730291795,295,5.437816601,2,0.677966102,Second administrative level,weekly,COD,54249.7,64.29256152,1.34,843.7943475,rural,"Population <100,000"
1,afr::cod::hautkatanga::kampembahealthdistrict,Monday,12,57.25191017,281,22.40210543,4,1.423487544,Second administrative level,weekly,COD,12543.5,726.6143498,1.87,17.2629401,rural,"Population <100,000"
1,afr::cod::hautkatanga::katubahealthdistrict,Monday,22,41.21481056,422,51.18984088,6,1.421800948,Second administrative level,weekly,COD,8243.8,206.9206907,1.56,39.84038509,rural,"Population <10,000"
1,afr::cod::ituri::angumuhealthdistrict,Monday,3,2.524208183,9,0.158100749,1,11.11111111,Second administrative level,weekly,COD,56925.7,782.9955046,1.89,72.70246083,rural,"Population <100,000"
1,afr::cod::ituri::fatakihealthdistrict,Monday,5,2.00053475,57,0.405894821,2,3.50877193,Second administrative level,weekly,COD,140430.5,392.9585943,2.06,357.367168,rural,"Population <1,000,000"
1,afr::cod::ituri::nyarambehealthdistrict,Monday,9,1.732875628,163,0.756427129,4,2.45398773,Second administrative level,weekly,COD,215486.7,572.9292759,2.37,376.1139622,rural,"Population <1,000,000"
1,afr::cod::ituri::tchomiahealthdistrict,Monday,7,10.57679243,70,1.39225785,1,1.428571429,Second administrative level,weekly,COD,50278,929.6590887,1.65,54.08219057,rural,"Population <100,000"
1,afr::cod::kasai::ilebohealthdistrict,Monday,9,3.646901902,156,1.359427515,6,3.846153846,Second administrative level,weekly,COD,114754.2,1425.562736,1.76,80.49747451,rural,"Population <1,000,000"
