"outbreak_number","location","start_weekday","duration","threshold","total_suspected_cases","attack_rate","total_deaths","cfr","spatial_scale","temporal_scale","country","population","area","mean_R0","population_density","rural_urban","pop_cat"
1,"afr::cod::orientale::lowahealthdistrict","Monday",12,9.37990990466563,623,14.8932373358504,31,4.97592295345104,"Second administrative level","weekly","COD",41831.1,15026.5966,1.23,2.78380401853604,"rural","Population <100,000"
1,"afr::cod::orientale::lubungahealthdistrict","Monday",13,1.08297862065389,316,1.52848861996236,17,5.37974683544304,"Second administrative level","weekly","COD",206740.2,3767.544629,2.29,54.8739883288055,"rural","Population <1,000,000"
1,"afr::cod::orientale::makisokisanganihealthdistrict","Monday",6,0.122505072719684,6,0.0127260894178788,0,0,"Second administrative level","weekly","COD",471472.4,500.6467342,1.95,941.726706264011,"rural","Population <1,000,000"
1,"afr::cod::orientale::mangobohealthdistrict","Monday",14,0.221935180359823,12,0.565066267907446,1,8.33333333333333,"Second administrative level","weekly","COD",21236.4,108.6418608,2.06,195.471615117991,"rural","Population <100,000"
1,"afr::cod::orientale::nizihealthdistrict","Monday",16,0.280832305227522,110,0.6798178590276,0,0,"Second administrative level","weekly","COD",161808,302.1710535,2.1,535.484779649815,"rural","Population <1,000,000"
1,"afr::cod::orientale::nyarambehealthdistrict","Monday",27,2.79142549451027,374,1.94686750027776,9,2.40641711229947,"Second administrative level","weekly","COD",192103.5,572.9292759,1.61,335.300547695402,"rural","Population <1,000,000"
1,"afr::cod::orientale::rethyhealthdistrict","Monday",13,0.416500149543023,37,0.153598980434876,2,5.40540540540541,"Second administrative level","weekly","COD",240887,664.7453671,1.64,362.374845951747,"rural","Population <1,000,000"
1,"afr::cod::orientale::yahumahealthdistrict","Monday",16,0.401717872409536,125,0.898402875518084,12,9.6,"Second administrative level","weekly","COD",139135.8,21474.5481,2.49,6.47910258004451,"rural","Population <1,000,000"
1,"afr::cod::sudkivu","Monday",5,2.66974397737924,689,0.126876176861708,,,"First administrative level","weekly","COD",5430491.5,64149.10902,1.43,84.6541999251605,"rural","Population >1,000,000"
1,"afr::cod::sudkivu::bagirahealthdistrict::burhiba","Monday",19,2.96598542083749,36,1.13800516806969,0,0,"Third administrative level","weekly","COD",31634.3,2.11663652,2.12,14945.5514449878,"urban","Population <100,000"
1,"afr::cod::sudkivu::fizihealthdistrict","Monday",12,10.6388109893793,772,2.52760138874835,0,0,"Second administrative level","weekly","COD",305427.9,8226.060666,1.76,37.1293031259053,"rural","Population <1,000,000"
1,"afr::cod::sudkivu::fizihealthdistrict::mwangaza","Monday",6,16.5653940800878,43,5.42622456672893,0,0,"Third administrative level","weekly","COD",7924.5,8.742575393,2.29,906.426269580127,"rural","Population <10,000"
1,"afr::cod::sudkivu::fizihealthdistrict::sebele","Monday",55,53.7597455069637,195,38.5395130371946,0,0,"Third administrative level","weekly","COD",5059.7,127.890958,1.87,39.5626092659342,"rural","Population <10,000"
1,"afr::cod::sudkivu::ibandahealthdistrict","Monday",22,1.11574868537094,138,0.548316274190917,0,0,"Second administrative level","weekly","COD",251679.6,27.35442427,1.94,9200.69081022556,"urban","Population <1,000,000"
1,"afr::cod::sudkivu::ibandahealthdistrict::gihamba","Monday",16,79.5700314078367,329,79.1797082255391,3,0.911854103343465,"Third administrative level","weekly","COD",4155.1,0.32640702,2.09,12729.8119997542,"urban","Population <10,000"
1,"afr::cod::sudkivu::kabarehealthdistrict","Monday",14,2.76220916683023,440,3.12940315414055,0,0,"Second administrative level","weekly","COD",140601.9,576.4104473,1.56,243.92670302664,"rural","Population <1,000,000"
1,"afr::cod::sudkivu::kadutuhealthdistrict","Monday",14,3.97711339233312,169,0.995529047385655,5,2.9585798816568,"Second administrative level","weekly","COD",169759,17.01271021,1.47,9978.36311231683,"urban","Population <1,000,000"
1,"afr::cod::sudkivu::kadutuhealthdistrict::8ecepacbuholoii","Monday",12,4.04660603799137,65,2.80721146307256,0,0,"Third administrative level","weekly","COD",23154.7,1.218076864,1.61,19009.2273191719,"urban","Population <100,000"
1,"afr::cod::sudkivu::kadutuhealthdistrict::cimpunda","Monday",10,7.41856676963531,50,4.96775519368133,0,0,"Third administrative level","weekly","COD",10064.9,0.531237642,2.08,18946.1348448648,"urban","Population <100,000"
1,"afr::cod::sudkivu::kalongehealthdistrict","Monday",12,1.30035304441906,232,2.61425388123738,3,1.29310344827586,"Second administrative level","weekly","COD",88744.3,883.2374778,2.63,100.47614852242,"rural","Population <100,000"
1,"afr::cod::sudkivu::kamitugahealthdistrict","Monday",22,1.57613071338661,282,2.0653434949576,2,0.709219858156028,"Second administrative level","weekly","COD",136539,2196.254699,1.57,62.1690189494729,"rural","Population <1,000,000"
1,"afr::cod::sudkivu::kaniolahealthdistrict","Monday",10,0.814323206482727,19,0.267694354687095,0,0,"Second administrative level","weekly","COD",70976.5,942.6810027,1.76,75.2921717916359,"rural","Population <100,000"
1,"afr::cod::sudkivu::lemerahealthdistrict","Monday",6,1.03576508399922,24,0.113314004541265,0,0,"Second administrative level","weekly","COD",211800.8,686.2406855,1.76,308.639234710604,"rural","Population <1,000,000"
1,"afr::cod::sudkivu::minovahealthdistrict","Monday",13,5.37888972285912,530,1.9149975927035,11,2.07547169811321,"Second administrative level","weekly","COD",276762.8,635.9277987,1.81,435.211042143109,"rural","Population <1,000,000"
1,"afr::cod::sudkivu::mwanahealthdistrict","Monday",17,1.0770833026464,125,4.20949498951704,3,2.4,"Second administrative level","weekly","COD",29694.8,467.1352591,2.04,63.5678840796798,"rural","Population <100,000"
1,"afr::cod::sudkivu::nunduhealthdistrict","Monday",7,9.10860353164147,70,1.05150533668297,0,0,"Second administrative level","weekly","COD",66571.2,1607.588328,1.57,41.4106017321121,"rural","Population <100,000"
