id,outbreak_number,start_weekday,who_region,country,location,start_date,end_date,total_suspected_cases,total_confirmed_cases,total_deaths,duration,right_censored,EpiPeriod,temporal_scale,spatial_scale,location_period_id,threshold.per.week,population,run_country,duplicated_at_same_spatial_scale,manually_selected,duplicated_at_different_spatial_scale,time_to_peak (weeks)
afr::ago::cabinda_1,1,Sunday,AFR,AGO,afr::ago::cabinda,4/16/2017,6/3/2017,61,,,49,yes,complete,weekly,admin1,15295,0,975402.6,AGO,|afr::ago::cabinda|afr::ago::cabinda,yes,,5
afr::gin::boke::boke_1,1,Sunday,AFR,GIN,afr::gin::boke::boke,7/29/2012,10/13/2012,174,,,77,no,complete,weekly,admin2,92,0,426532.9,GIN,|afr::gin::boke::boke|afr::gin::boke::boke,yes,,6
afr::gin::conakry::conakry_1,1,Sunday,AFR,GIN,afr::gin::conakry::conakry,7/8/2012,10/20/2012,4497,,,105,no,complete,weekly,admin2,5965,0,1570272.9,GIN,|afr::gin::conakry::conakry|afr::gin::conakry::conakry,yes,,7
afr::gin::kindia::coyah_1,1,Sunday,AFR,GIN,afr::gin::kindia::coyah,7/29/2012,10/20/2012,657,,,84,no,complete,weekly,admin2,9661,0,362388.8,GIN,|afr::gin::kindia::coyah|afr::gin::kindia::coyah,yes,,4
afr::gin::kindia::dubreka_1,1,Sunday,AFR,GIN,afr::gin::kindia::dubreka,7/29/2012,11/10/2012,352,,,105,no,complete,weekly,admin2,6401,0,152827.6,GIN,|afr::gin::kindia::dubreka|afr::gin::kindia::dubreka,yes,,4
afr::gin::kindia::forecariah_1,1,Monday,AFR,GIN,afr::gin::kindia::forecariah,4/9/2012,7/8/2012,118,,,91,no,complete,weekly,admin2,8536,0,233189.5,GIN,|afr::gin::kindia::forecariah|afr::gin::kindia::forecariah,yes,,7.86
afr::gin::kindia::kindia_1,1,Sunday,AFR,GIN,afr::gin::kindia::kindia,7/22/2012,10/20/2012,121,,,91,no,complete,weekly,admin2,10686,0,419794.1,GIN,|afr::gin::kindia::kindia|afr::gin::kindia::kindia,yes,,5
afr::mwi::central::lilongwe_2,2,Sunday,AFR,MWI,afr::mwi::central::lilongwe,12/24/2017,5/12/2018,388,,18,140,no,complete,weekly,admin2,12753,0,1650615.5,MWI,|afr::mwi::central::lilongwe|afr::mwi::central::lilongwe,yes,,8
afr::mwi::central::salima_1,1,Sunday,AFR,MWI,afr::mwi::central::salima,1/21/2018,4/14/2018,90,,4,84,no,complete,weekly,admin2,12766,0,453460.4,MWI,|afr::mwi::central::salima|afr::mwi::central::salima,yes,,4
afr::mwi::northern::karonga_2,2,Sunday,AFR,MWI,afr::mwi::northern::karonga,11/26/2017,3/31/2018,343,,5,126,no,complete,weekly,admin2,12769,0,339058.6,MWI,|afr::mwi::northern::karonga|afr::mwi::northern::karonga,yes,,5
afr::tza::arusha::arushaurban_1,1,Monday,AFR,TZA,afr::tza::arusha::arushaurban,1/25/2010,3/14/2010,43,,0,49,no,complete,weekly,admin2,12932,0,385308.3,TZA,|afr::tza::arusha::arushaurban|afr::tza::arusha::arushaurban,yes,,3.86
afr::tza::daressalaam::temeke_2,2,Monday,AFR,TZA,afr::tza::daressalaam::temeke,2/8/2010,7/4/2010,550,,5,147,no,complete,weekly,admin2,12955,0,1214051.8,TZA,|afr::tza::daressalaam::temeke|afr::tza::daressalaam::temeke,yes,,12.86
afr::tza::dodoma::kongwa_1,1,Sunday,AFR,TZA,afr::tza::dodoma::kongwa,11/20/2016,2/18/2017,67.5,,1.25,91,no,complete,weekly,admin2,13407,0,336921,TZA,|afr::tza::dodoma::kongwa|afr::tza::dodoma::kongwa,yes,,3.14
afr::tza::lindi::kilwa_1,1,Monday,AFR,TZA,afr::tza::lindi::kilwa,10/11/2010,12/12/2010,181,,0,63,no,complete,weekly,admin2,13496,0,176133.2,TZA,|afr::tza::lindi::kilwa|afr::tza::lindi::kilwa,yes,,2.86
afr::tza::manyara::hanang_1,1,Monday,AFR,TZA,afr::tza::manyara::hanang,2/1/2010,4/4/2010,79,,0,63,no,complete,weekly,admin2,13505,0,260009.2,TZA,|afr::tza::manyara::hanang|afr::tza::manyara::hanang,yes,,2.86
afr::tza::manyara::kiteto_1,1,Monday,AFR,TZA,afr::tza::manyara::kiteto,11/1/2010,12/5/2010,112,,0,35,no,complete,weekly,admin2,13506,0,222562.4,TZA,|afr::tza::manyara::kiteto|afr::tza::manyara::kiteto,yes,,2.86
afr::tza::manyara::simanjiro_1,1,Monday,AFR,TZA,afr::tza::manyara::simanjiro,3/8/2010,4/18/2010,77,,0,42,no,complete,weekly,admin2,13508,0,170510.9,TZA,|afr::tza::manyara::simanjiro|afr::tza::manyara::simanjiro,yes,,3.86
afr::tza::mbeya::chunya_2,2,Monday,AFR,TZA,afr::tza::mbeya::chunya,10/11/2010,4/10/2011,448,,5,182,no,complete,weekly,admin2,13522,0,271141.3,TZA,|afr::tza::mbeya::chunya|afr::tza::mbeya::chunya,yes,,4.86
afr::tza::morogoro::kilosa_1,1,Monday,AFR,TZA,afr::tza::morogoro::kilosa,2/1/2010,4/11/2010,36,,0,70,no,complete,weekly,admin2,14154,0,599437.1,TZA,|afr::tza::morogoro::kilosa|afr::tza::morogoro::kilosa,yes,,2.86
afr::tza::morogoro::kilosa_4,4,Sunday,AFR,TZA,afr::tza::morogoro::kilosa,10/2/2016,1/28/2017,154.4166667,,1.75,119,no,complete,weekly,admin2,14155,0,485540.2,TZA,|afr::tza::morogoro::kilosa|afr::tza::morogoro::kilosa,yes,|afr::tza::morogoro::kilosa_4,5.14
afr::tza::tanga::lushoto_1,1,Monday,AFR,TZA,afr::tza::tanga::lushoto,1/25/2010,3/14/2010,79,,0,49,no,complete,weekly,admin2,14726,0,476665.9,TZA,|afr::tza::tanga::lushoto|afr::tza::tanga::lushoto,yes,,2.86
